Date,Portfolio_Value
2022-05-31,779.0296133273579
2022-06-01,773.2681502881809
2022-06-02,794.4445178805919
2022-06-03,773.7734589317809
2022-06-06,776.3510052652093
2022-06-07,783.0476041290922
2022-06-08,777.4125469593266
2022-06-09,756.589659291901
2022-06-10,729.9044042736012
2022-06-13,695.61864885886
2022-06-14,695.2708395344306
2022-06-15,712.6330240071044
2022-06-16,683.8809137340354
2022-06-17,692.1966474028557
2022-06-21,709.6603160060985
2022-06-22,708.6252249666987
2022-06-23,719.1787111851343
2022-06-24,743.8202040024494
2022-06-27,738.3669036219902
2022-06-28,715.8712546791968
2022-06-29,716.5276443032868
2022-06-30,707.6405227995537
2022-07-01,712.311304400606
2022-07-05,724.505882410277
2022-07-06,729.1513910878621
2022-07-07,744.7544388099998
2022-07-08,745.6887521048902
2022-07-11,729.7574703270375
2022-07-12,722.6881156167906
2022-07-13,721.1985043916792
2022-07-14,723.7737525031249
2022-07-15,736.9025653203462
2022-07-18,730.6663537237806
2022-07-19,753.1366512557669
2022-07-20,765.0787354927846
2022-07-21,776.0616259481445
2022-07-22,762.4530200217444
2022-07-25,758.1104724764069
2022-07-26,743.2144387126339
2022-07-27,774.6224035952879
2022-07-28,782.196667363501
2022-07-29,796.4617414013311
2022-08-01,795.9818698048125
2022-08-02,793.6085696190852
2022-08-03,815.2206865759429
2022-08-04,819.0331306271867
2022-08-05,812.3424773322495
2022-08-08,809.716683373869
2022-08-09,800.5517951740155
2022-08-10,822.8959635506852
2022-08-11,818.2251034622929
2022-08-12,834.1564637274855
2022-08-15,840.8975058946775
2022-08-16,838.9281015603873
2022-08-17,829.3593175090966
2022-08-18,831.3538377921742
2022-08-19,815.144789318201
2022-08-22,793.6844668768272
2022-08-23,793.0279202780572
2022-08-24,795.3255586680623
2022-08-25,809.3885278054942
2022-08-26,776.2130280269284
2022-08-29,768.5630239756534
2022-08-30,760.0039795529552
2022-08-31,755.5856917245559
2022-09-01,755.913847292931
2022-09-02,745.2342319191787
2022-09-06,739.8816307958889
2022-09-07,754.8283673812766
2022-09-08,758.7416676643697
2022-09-09,775.3294175536525
2022-09-12,784.5447731131009
2022-09-13,741.5228795618041
2022-09-14,747.4055056918473
2022-09-15,734.9584339095234
2022-09-16,730.4644057980621
2022-09-19,736.1527757617031
2022-09-20,730.2849052515724
2022-09-21,717.2082080280848
2022-09-22,708.3811293394214
2022-09-23,696.8475717068982
2022-09-26,693.9640253240875
2022-09-27,694.2423414315875
2022-09-28,708.0522673849866
2022-09-29,687.6406927801658
2022-09-30,675.9807705303061
2022-10-03,691.8392945440154
2022-10-04,713.5913544280227
2022-10-05,713.2121036013333
2022-10-06,707.5971193005554
2022-10-07,680.634598865927
2022-10-10,673.4938514433533
2022-10-11,673.1571045176316
2022-10-12,672.9264719407869
2022-10-13,688.708227483516
2022-10-14,668.0074233162802
2022-10-17,690.0661850998847
2022-10-18,695.5229788983928
2022-10-19,692.9866565615852
2022-10-20,689.4511648949654
2022-10-21,705.6172285647085
2022-10-24,713.3800301274217
2022-10-25,728.1366989945781
2022-10-26,712.0475128504501
2022-10-27,699.0841494075914
2022-10-28,720.4766923032403
2022-10-31,712.0987910345468
2022-11-01,704.822853967041
2022-11-02,680.6635946609216
2022-11-03,667.3668832709034
2022-11-04,678.1015934815352
2022-11-07,685.5571234449708
2022-11-08,690.5528905929712
2022-11-09,674.6173799990122
2022-11-10,724.3962535936923
2022-11-11,737.7442431678073
2022-11-14,731.2879620352447
2022-11-15,741.407890544139
2022-11-16,731.2879620352447
2022-11-17,729.6741700058161
2022-11-18,729.6994513430918
2022-11-21,722.1931202019231
2022-11-22,732.5946414675166
2022-11-23,739.9475355616979
2022-11-25,735.0798446223487
2022-11-28,724.2937767265593
2022-11-29,718.8112245844119
2022-11-30,751.5788587339483
2022-12-01,752.5013095402669
2022-12-02,749.5038015508303
2022-12-05,736.9244282307432
2022-12-06,721.6549775226187
2022-12-07,718.7087477172788
2022-12-08,727.2146456935628
2022-12-09,722.5775078299978
2022-12-12,731.6466708207406
2022-12-13,739.511949250587
2022-12-14,734.0293971084396
2022-12-15,709.383352808173
2022-12-16,702.6196410742112
2022-12-19,692.7453708426178
2022-12-20,692.2060356474041
2022-12-21,702.24733760735
2022-12-22,685.0667609030961
2022-12-23,686.6075709588798
2022-12-27,676.9000939524573
2022-12-28,667.9632207265781
2022-12-29,684.2448789384558
2022-12-30,683.8339379561357
2023-01-03,679.2114282877238
2023-01-04,682.4472009558243
2023-01-05,671.7639279314104
2023-01-06,690.3057217955185
2023-01-09,694.774158408458
2023-01-10,700.6550108642878
2023-01-11,712.7766170773523
2023-01-12,716.6286024662813
2023-01-13,721.5594172477591
2023-01-17,723.0231907758066
2023-01-18,713.6238598803288
2023-01-19,706.6130588499748
2023-01-20,725.9509763350837
2023-01-23,742.0785614914892
2023-01-24,740.5633507772235
2023-01-25,738.9198253511248
2023-01-26,753.3267690526347
2023-01-27,760.8257065951663
2023-01-30,745.4427283724832
2023-01-31,756.6140584080139
2023-02-01,772.7930807506373
2023-02-02,800.5285362664117
2023-02-03,786.3013444629528
2023-02-06,779.6498087255189
2023-02-07,795.8031522255637
2023-02-08,781.6529969498407
2023-02-09,774.7447522876806
2023-02-10,769.6599439517911
2023-02-13,781.9869014044249
2023-02-14,787.7651179910004
2023-02-15,793.8000435023024
2023-02-16,778.9050427896755
2023-02-17,773.409293471466
2023-02-21,755.0988476937482
2023-02-22,755.6638617315407
2023-02-23,762.2638012806351
2023-02-24,749.5004625062844
2023-02-27,754.8676586094791
2023-02-28,753.8917035893667
2023-03-01,747.8311787365465
2023-03-02,754.0202568043815
2023-03-03,769.6085067655731
2023-03-06,770.4817464153708
2023-03-07,761.0311373357961
2023-03-08,764.8320035427495
2023-03-09,751.5804487551607
2023-03-10,741.0255699436404
2023-03-13,746.5213987629106
2023-03-14,763.6762171235254
2023-03-15,767.6825140711086
2023-03-16,787.9191910464726
2023-03-17,784.1953613672554
2023-03-20,786.978375495152
2023-03-21,798.2183149459937
2023-03-22,787.3641941423177
2023-03-23,796.7008782020308
2023-03-24,799.6331158207023
2023-03-27,794.1543797294643
2023-03-28,789.9363714574627
2023-03-29,804.3398966133664
2023-03-30,811.9532361821232
2023-03-31,825.4567298308017
2023-04-03,823.4505205661764
2023-04-04,820.6725150050984
2023-04-05,812.5707209199217
2023-04-06,818.0489800047958
2023-04-10,817.5862838320152
2023-04-11,812.3389753282282
2023-04-12,805.1629710939159
2023-04-13,820.9299394393705
2023-04-14,819.386585349647
2023-04-17,820.0810271141211
2023-04-18,820.1324643003392
2023-04-19,819.7466456531735
2023-04-20,813.4965902718466
2023-04-21,814.3454230960353
2023-04-24,812.6477574476578
2023-04-25,797.3181244366475
2023-04-26,802.1536174464476
2023-04-27,823.9649719294175
2023-04-28,829.6490592602245
2023-05-01,828.6975110657208
2023-05-02,821.4699901441297
2023-05-03,816.0943669285098
2023-05-04,813.2136459971169
2023-05-05,830.4980510865346
2023-05-08,832.5556180363174
2023-05-09,827.2827896920727
2023-05-10,836.2850922908383
2023-05-11,839.0115811646376
2023-05-12,836.0020685150481
2023-05-15,840.5290179086005
2023-05-16,841.4806456041648
2023-05-17,851.6660034859455
2023-05-18,867.4845680197394
2023-05-19,865.529636939211
2023-05-22,868.436116214243
2023-05-23,857.4275248497917
2023-05-24,853.0293671744361
2023-05-25,873.7859810862237
2023-05-26,896.1117074313742
2023-05-30,900.1754041447216
2023-05-31,895.057125862313
2023-06-01,905.396795302748
2023-06-02,912.1870603909554
2023-06-05,912.8302239713325
2023-06-06,912.6759124126784
2023-06-07,897.1918883419532
2023-06-08,907.8747094823387
2023-06-09,907.8747094823387
2023-06-12,907.4207721275976
2023-06-13,914.3933741079868
2023-06-14,921.0388861531455
2023-06-15,932.0136715727175
2023-06-16,926.1486938354163
2023-06-20,924.8229058962326
2023-06-21,912.219673201595
2023-06-22,922.9828304994194
2023-06-23,913.8328708031817
2023-06-26,901.582559123341
2023-06-27,916.6259324129439
2023-06-28,916.1676194467375
2023-06-29,914.3329640863844
2023-06-30,928.4321159863183
2023-07-03,930.6184976639584
2023-07-05,930.5934408486775
2023-07-06,923.5060857375904
2023-07-07,920.440000390335
2023-07-10,920.7415355017807
2023-07-11,925.290549892102
2023-07-12,936.9770330240724
2023-07-13,952.8855507432397
2023-07-14,952.6845531940356
2023-07-17,961.5813516996357
2023-07-18,969.4477177675374
2023-07-19,968.7368199618753
2023-07-20,968.2524515518945
2023-07-21,965.3485520323359
2023-07-24,966.8903388780795
2023-07-25,972.9570836595063
2023-07-26,972.4706051176765
2023-07-27,970.1522077667769
2023-07-28,987.8230899416868
2023-07-31,987.8441555291124
2023-08-01,987.3502334513479
2023-08-02,965.6838160788639
2023-08-03,964.1359873616198
2023-08-04,959.6222764688307
2023-08-07,967.7472426960547
2023-08-08,959.5190135787394
2023-08-09,948.4949945378975
2023-08-10,948.0207470406285
2023-08-11,941.9765183877021
2023-08-14,952.5475077562343
2023-08-15,942.4394437587661
2023-08-16,932.4600715854266
2023-08-17,922.2748401277156
2023-08-18,921.1173282240778
2023-08-21,935.9579328311318
2023-08-22,934.6204429106526
2023-08-23,949.3580781803256
2023-08-24,929.06502089632
2023-08-25,936.2665232817109
2023-08-28,943.3139289177902
2023-08-29,963.9158148235482
2023-08-30,969.2913382114306
2023-08-31,972.1977410427257
2023-09-01,971.1689209632165
2023-09-05,972.4035209367058
2023-09-06,963.8386473633057
2023-09-07,956.9457354284938
2023-09-08,957.8038456842106
2023-09-11,957.8038456842106
2023-09-12,957.3249437613686
2023-09-13,960.9715124299803
2023-09-14,968.8296602330299
2023-09-15,951.7642050043854
2023-09-18,951.2883229018831
2023-09-19,949.2605551297755
2023-09-20,935.5814682052246
2023-09-21,917.9781430273131
2023-09-22,917.5191539557993
2023-09-25,921.8771190068303
2023-09-26,908.034017816609
2023-09-27,910.1617989541369
2023-09-28,917.7756349826632
2023-09-29,918.4419641568907
2023-10-02,926.1070805878923
2023-10-03,909.8542745682607
2023-10-04,922.2360818241569
2023-10-05,919.518773594383
2023-10-06,934.9256505093922
2023-10-09,939.6938587802252
2023-10-10,944.8978319503659
2023-10-11,951.6399801513008
2023-10-12,948.3329868003055
2023-10-13,936.4124661232235
2023-10-16,946.9999333794124
2023-10-17,943.8981406528055
2023-10-18,931.5160173389588
2023-10-19,922.8001662513846
2023-10-20,909.0338671431446
2023-10-23,911.7768550814
2023-10-24,920.6467054053752
2023-10-25,898.1131167781106
2023-10-26,880.5482075944027
2023-10-27,880.1079334906055
2023-10-30,890.0225432122771
2023-10-31,894.2789114749716
2023-11-01,909.8007783068173
2023-11-02,926.3166435445225
2023-11-03,937.1998773351302
2023-11-06,941.0229179121595
2023-11-07,949.9179977744108
2023-11-08,950.5298099600453
2023-11-09,943.2148521190901
2023-11-10,964.4204133051551
2023-11-13,961.4129651923344
2023-11-14,982.1086828903705
2023-11-15,982.8478381105342
2023-11-16,983.689119144941
2023-11-17,983.426393142598
2023-11-20,982.9346799460268
2023-11-21,977.2244012921043
2023-11-22,981.2241627846463
2023-11-24,979.8405365326707
2023-11-27,978.9853167198777
2023-11-28,981.5512087656401
2023-11-29,980.5952699558554
2023-11-30,978.1298642997014
2023-12-01,980.9222384010549
2023-12-04,971.8159694859787
2023-12-05,974.2559434015528
2023-12-06,968.6211070756309
2023-12-07,982.1549024612345
2023-12-08,986.5321082011636
2023-12-11,994.9590860210556
2023-12-12,1002.8832442139337
2023-12-13,1015.6371845789505
2023-12-14,1014.756765632961
2023-12-15,1019.6620676688948
2023-12-18,1026.0845125948488
2023-12-19,1031.327483015616
2023-12-20,1015.4941444906491
2023-12-21,1015.4941444906491
2023-12-22,1014.9863974184038
2023-12-26,1021.1998098891635
2023-12-27,1023.2787965549771
2023-12-28,1022.7814697333276
2023-12-29,1018.3550698881237
2024-01-02,1001.1221794601539
2024-01-03,990.5288505734856
2024-01-04,985.4311168588114
2024-01-05,986.5998540029401
2024-01-08,1006.9908653146463
2024-01-09,1008.9802490542535
2024-01-10,1015.8185884181974
2024-01-11,1017.9323612029737
2024-01-12,1018.4545352524536
2024-01-16,1017.8458923531797
2024-01-17,1017.3369694070032
2024-01-18,1031.7772973606327
2024-01-19,1052.238441942755
